office,year,state,roster_n,captured_n,capture_pct
senate,2016,IN,9,7,77.8
senate,2016,KS,7,4,57.1
senate,2016,KY,15,7,46.7
senate,2016,LA,15,10,66.7
senate,2016,MA,11,5,45.5
senate,2016,MD,13,10,76.9
senate,2016,ME,6,4,66.7
senate,2016,MI,5,3,60.0
senate,2016,MN,9,6,66.7
senate,2016,MO,9,5,55.6
senate,2016,MS,4,0,0.0
senate,2016,MT,8,3,37.5
senate,2016,NC,19,11,57.9
senate,2016,ND,4,1,25.0
senate,2016,NE,10,3,30.0
senate,2016,NH,12,7,58.3
senate,2016,NJ,14,8,57.1
senate,2016,NM,10,4,40.0
senate,2016,NV,12,8,66.7
senate,2016,NY,10,3,30.0
senate,2016,OH,8,6,75.0
senate,2016,OK,11,7,63.6
senate,2016,OR,8,5,62.5
senate,2016,PA,13,6,46.2
senate,2016,RI,3,2,66.7
senate,2016,SC,14,9,64.3
senate,2016,SD,5,5,100.0
senate,2016,TN,6,4,66.7
senate,2016,TX,12,7,58.3
senate,2016,UT,10,6,60.0
senate,2016,VA,8,5,62.5
senate,2016,VT,5,4,80.0
senate,2016,WA,12,6,50.0
senate,2016,WI,9,6,66.7
senate,2016,WV,5,4,80.0
senate,2016,WY,4,4,100.0
senate,2018,AK,4,1,25.0
senate,2018,AL,14,6,42.9
senate,2018,AR,5,2,40.0
senate,2018,AZ,19,7,36.8
senate,2018,CA,24,13,54.2
senate,2018,CO,19,9,47.4
senate,2018,CT,10,5,50.0
senate,2018,DE,8,6,75.0
senate,2018,FL,26,10,38.5
senate,2018,GA,11,6,54.5
senate,2018,HI,5,2,40.0
senate,2018,IA,6,4,66.7
senate,2018,ID,4,2,50.0
senate,2018,IL,12,4,33.3
senate,2018,IN,15,6,40.0
senate,2018,KS,5,2,40.0
senate,2018,KY,10,2,20.0
senate,2018,LA,13,3,23.1
senate,2018,MA,11,6,54.5
senate,2018,MD,17,7,41.2
senate,2018,ME,8,6,75.0
senate,2018,MI,8,6,75.0
senate,2018,MN,18,9,50.0
senate,2018,MO,15,4,26.7
senate,2018,MS,8,6,75.0
senate,2018,MT,10,4,40.0
senate,2018,NC,14,6,42.9
senate,2018,ND,7,3,42.9
senate,2018,NE,13,5,38.5
senate,2018,NH,9,5,55.6
senate,2018,NJ,13,6,46.2
senate,2018,NM,10,2,20.0
senate,2018,NV,13,8,61.5
senate,2018,NY,14,6,42.9
senate,2018,OH,9,4,44.4
senate,2018,OK,8,3,37.5
senate,2018,OR,5,3,60.0
senate,2018,PA,21,9,42.9
senate,2018,RI,5,2,40.0
senate,2018,SC,9,3,33.3
senate,2018,SD,4,4,100.0
senate,2018,TN,14,8,57.1
senate,2018,TX,16,8,50.0
senate,2018,UT,13,5,38.5
senate,2018,VA,9,6,66.7
senate,2018,VT,8,6,75.0
senate,2018,WA,18,10,55.6
senate,2018,WI,11,5,45.5
senate,2018,WV,7,5,71.4
senate,2018,WY,6,5,83.3
senate,2020,AK,4,0,0.0
senate,2020,AL,15,6,40.0
senate,2020,AR,3,2,66.7
senate,2020,AZ,14,9,64.3
senate,2020,CA,16,5,31.2
senate,2020,CO,21,13,61.9
senate,2020,CT,7,3,42.9
senate,2020,DE,8,6,75.0
senate,2020,FL,15,5,33.3
senate,2020,GA,30,21,70.0
senate,2020,HI,3,3,100.0
senate,2020,IA,9,7,77.8
senate,2020,ID,5,5,100.0
senate,2020,IL,13,5,38.5
senate,2020,IN,11,7,63.6
senate,2020,KS,17,10,58.8
senate,2020,KY,15,10,66.7
senate,2020,LA,11,9,81.8
senate,2020,MA,13,9,69.2
senate,2020,MD,6,3,50.0
senate,2020,ME,11,8,72.7
senate,2020,MI,5,2,40.0
senate,2020,MN,20,7,35.0
senate,2020,MO,12,7,58.3
senate,2020,MS,7,4,57.1
senate,2020,MT,12,8,66.7
senate,2020,NC,17,9,52.9
senate,2020,ND,5,2,40.0
senate,2020,NE,14,5,35.7
senate,2020,NH,10,7,70.0
senate,2020,NJ,17,9,52.9
senate,2020,NM,14,8,57.1
senate,2020,NV,8,5,62.5
senate,2020,NY,11,5,45.5
senate,2020,OH,6,5,83.3
senate,2020,OK,8,5,62.5
senate,2020,OR,6,2,33.3
senate,2020,PA,13,5,38.5
senate,2020,RI,4,3,75.0
senate,2020,SC,10,9,90.0
senate,2020,SD,5,5,100.0
senate,2020,TN,24,10,41.7
senate,2020,TX,22,15,68.2
senate,2020,UT,11,6,54.5
senate,2020,VA,14,9,64.3
senate,2020,VT,7,2,28.6
senate,2020,WA,12,5,41.7
senate,2020,WI,6,5,83.3
senate,2020,WV,9,7,77.8
senate,2020,WY,16,4,25.0
senate,2022,AK,9,6,66.7
senate,2022,AL,19,13,68.4
senate,2022,AR,8,6,75.0
senate,2022,AZ,16,9,56.2
senate,2022,CA,27,14,51.9
senate,2022,CO,21,15,71.4
senate,2022,CT,9,6,66.7
senate,2022,DE,6,5,83.3
senate,2022,FL,22,12,54.5
senate,2022,GA,36,20,55.6
senate,2022,HI,6,5,83.3
senate,2022,IA,13,11,84.6
senate,2022,ID,9,5,55.6
senate,2022,IL,15,10,66.7
senate,2022,IN,13,8,61.5
senate,2022,KS,17,10,58.8
senate,2022,KY,17,11,64.7
senate,2022,LA,14,9,64.3
senate,2022,MA,10,7,70.0
senate,2022,MD,11,6,54.5
senate,2022,ME,3,3,100.0
senate,2022,MI,4,2,50.0
senate,2022,MN,14,8,57.1
senate,2022,MO,31,20,64.5
senate,2022,MS,6,5,83.3
senate,2022,MT,9,7,77.8
senate,2022,NC,35,23,65.7
senate,2022,ND,5,2,40.0
senate,2022,NE,9,4,44.4
senate,2022,NH,13,10,76.9
senate,2022,NJ,16,9,56.2
senate,2022,NM,12,5,41.7
senate,2022,NV,13,9,69.2
senate,2022,NY,16,7,43.8
senate,2022,OH,17,15,88.2
senate,2022,OK,22,17,77.3
senate,2022,OR,12,9,75.0
senate,2022,PA,30,15,50.0
senate,2022,RI,4,3,75.0
senate,2022,SC,7,3,42.9
senate,2022,SD,7,3,42.9
senate,2022,TN,15,8,53.3
senate,2022,TX,17,10,58.8
senate,2022,UT,8,8,100.0
senate,2022,VA,13,5,38.5
senate,2022,VT,9,7,77.8
senate,2022,WA,15,10,66.7
senate,2022,WI,14,10,71.4
senate,2022,WV,9,4,44.4
senate,2022,WY,10,6,60.0
senate,2024,AK,7,5,71.4
senate,2024,AL,13,6,46.2
senate,2024,AR,5,2,40.0
senate,2024,AZ,18,9,50.0
senate,2024,CA,36,18,50.0
senate,2024,CO,14,3,21.4
senate,2024,CT,9,5,55.6
senate,2024,DC,1,1,100.0
senate,2024,DE,7,6,85.7
senate,2024,FL,28,14,50.0
senate,2024,GA,23,12,52.2
senate,2024,HI,7,7,100.0
senate,2024,IA,12,8,66.7
senate,2024,ID,8,3,37.5
senate,2024,IL,10,4,40.0
senate,2024,IN,17,8,47.1
senate,2024,KS,10,6,60.0
senate,2024,KY,15,8,53.3
senate,2024,LA,14,8,57.1
senate,2024,MA,11,6,54.5
senate,2024,MD,24,17,70.8
senate,2024,ME,5,5,100.0
senate,2024,MI,18,16,88.9
senate,2024,MN,16,13,81.2
senate,2024,MO,30,10,33.3
senate,2024,MS,8,6,75.0
senate,2024,MT,12,8,66.7
senate,2024,NC,29,13,44.8
senate,2024,ND,5,2,40.0
senate,2024,NE,10,4,40.0
senate,2024,NH,11,3,27.3
senate,2024,NJ,23,13,56.5
senate,2024,NM,10,5,50.0
senate,2024,NV,15,5,33.3
senate,2024,NY,16,6,37.5
senate,2024,OH,19,10,52.6
senate,2024,OK,14,7,50.0
senate,2024,OR,9,4,44.4
senate,2024,PA,24,12,50.0
senate,2024,RI,5,4,80.0
senate,2024,SC,7,2,28.6
senate,2024,SD,4,1,25.0
senate,2024,TN,13,3,23.1
senate,2024,TX,23,9,39.1
senate,2024,UT,15,8,53.3
senate,2024,VA,15,9,60.0
senate,2024,VT,7,2,28.6
senate,2024,WA,21,10,47.6
senate,2024,WI,13,5,38.5
senate,2024,WV,13,7,53.8
senate,2024,WY,8,3,37.5
